	af_id,	af_pattern,	af_user,	af_user_text,	af_timestamp,	af_enabled,	af_comments,	af_public_comments,	af_hidden,	af_hit_count,	af_throttled,	af_deleted,	af_actions,	af_global,	af_group
3,"	user_name rlike ""^(?:84\.167\.(?:12[89]|1[3-9]\d|2\d\d)|87\.184\.2[2-5]\d|93\.207\.(?:\d\d|1[01]\d|12[0-7]))\.""
& article_namespace==0
& edit_delta > -50
& edit_delta < 50
& ( count(""%"",added_lines) < count(""%"",removed_lines)
  | count(""%ig"",added_lines) < count(""%ig"",removed_lines)
  | rcount(""[;,]\n"",added_lines) > rcount(""[;,]\n"",removed_lines)
  | rcount(""\b[A-Z]-förmig"",added_lines) < rcount(""\b[A-Z]-förmig"",removed_lines)
  | rcount(""[au]s'(?!')"",added_lines) > rcount(""[au]s'(?!')"",removed_lines)
  | rcount(""\(sic!?\)"",added_lines) > rcount(""\(sic!?\)"",removed_lines)
  | count(""'sch"",added_lines) < count(""'sch"",removed_lines)
  | rcount(""\b1\b"",added_lines) < rcount(""\b1\b"",removed_lines) & rcount(""\b[eE]in"",added_lines) > rcount(""\b[eE]in"",removed_lines)
  | rcount(""\Bendete"",added_lines) < rcount(""\Bendete"",removed_lines)
  | count(""er-Jahr"",added_lines) < count(""er-Jahr"",removed_lines)
)",35543,	Lustiger seth,	20181125140415,0,"	siehe [[WP:Bearbeitungsfilter/3]]
2017-02-03 MBq: letzter Treffer vor 1 a
2018-02-14 seth: das heisst bei diesem vandalen noch nichts; ich stelle mal auf logging-only.
2018-11-25 seth: ok, vielleicht isser wirklich weg, ich deaktiviere mal.",	Aehnlicher Edit wie von User Bechterev (Block 1),0,522,0,0,	disallow,0,	default
111,,2379,	Seewolf,	20151111090333,0,,	Kochtroll,1,520,0,0,,0,	default
36,"	(article_namespace == 0) & (action == ""edit"")& !(""bot"" in user_groups)
& ((article_text == 'Soziale Marktwirtschaft'  | article_text == 'Initiative Neue Soziale Marktwirtschaft' | article_text == 'Marktwirtschaft' | article_text == 'Walter Eucken' | article_text == 'Rechte Esoterik‎' | article_text == 'Scientology' | article_text == 'Eugenik' | article_text == 'Zeugen Jehovas' | article_text == 'Neoliberalismus' | article_text == 'Marktversagen' |article_text == 'Deutsche Burschenschaft' | article_text == 'Marburger Burschenschaft Rheinfranken' | article_text == 'Ordoliberalismus' | article_text == 'Bürger in Wut' ))",35543,	Lustiger seth,	20190324182736,0,"	05.06.2013: als gelöscht markiert, da seit langem deaktiviert (Meinungsbild)

Edit-War drosseln
Beim Eintragen eines Artikel in diesen Filter immer auch MediaWiki:Editnotice-0/Seite/ARTIKELNAME mit dem Inhalt {{MediaWiki:Abusefilter-editwar-info}} anlegen (bzw. beim Austragen löschen)
----
Deaktiviert gemäß [[Wikipedia:Meinungsbilder/Abschaffung Missbrauchsfilter 36]].",	Edit-War-Protektor,0,514,0,1,"	throttle,warn,disallow",0,	default
165,,608538,	Schniggendiller,	20181225165729,0,,	potentielle Sperrumgehung Akkaly,1,507,0,0,	disallow,0,	default
73,,1859,	Filzstift,	20140415095654,0,,"	Sperrumgehung, keine Besserung erkennbar: Jerry Dandridge",1,502,0,1,,0,	default
226,,2379,	Seewolf,	20190111160704,1,,	Stalking durch Styron111,1,461,0,0,	disallow,0,	default
188,,2379,	Seewolf,	20150203161735,0,,	Rezepttrollerei,1,435,0,0,	disallow,0,	default
12,"	summary rlike '^Bot:.*(?:Ändere|Entferne):.*\[\[(?:hi|cdo):'
& user_name != 'MerlIwBot'",287832,	Xqt,	20130601154902,0,"	Botprobleme bei hi- und cdo-Interwikis
Alle Änderungen verbieten, deren py-Version > 2.6.5 ist",	disallow hi|cdo interwiki removing (bot bug #3181100),0,433,0,1,	disallow,0,	default
249,,1558630,	Holmium,	20190211213330,1,,	Verdacht auf Sperrumgehung Kleiner Timmy,1,418,0,0,	disallow,0,	default
158,,35543,	Lustiger seth,	20160304204542,0,,"	Sperrumgehung Watzlaf u. Stalking Turnstange, CherryX",1,402,0,1,,0,	default
243,,287832,	Xqt,	20171121182340,0,,	Neuanmeldung Sockenzoo,1,391,0,1,"	throttle,disallow",0,	default
157,,2379,	Seewolf,	20181024122535,0,,"	Sperrumgehung, keine Besserung erkennbar: Dribbler",1,379,0,1,	disallow,0,	default
5,"	article_namespace==0
& action==""edit""
& user_name rlike ""^93\.207\.(?:\d\d|1[01]\d|12[0-7])\.""
& edit_delta > -50
& edit_delta < 50
& ( removed_lines rlike ""(?:Guerr?ill|[eE]vakuier|(?:Ein|Aus)fallswinkel)""
  | lcase(summary) rlike ""(?:\bblöd|chwach|\bun)sinn|\b(?i:un|dumm)fug\b|kacke\b|hausmeister|\bquatsch\b|nominalstil|rückgängig gemacht""
) | ( user_editcount < 10
    & summary rlike ""\b(?:Dumpfbacke|Hirnumgehung\b)""
)",35543,	Lustiger seth,	20181125144753,0,"	siehe [[WP:Missbrauchsfilter/3]]
2018-11-25 seth: vermutlich ist der user nicht mehr da. dewswegen deaktiviert",	Aehnlicher Edit wie von User Bechterev (Block 2),0,378,0,0,	disallow,0,	default
93,,2379,	Seewolf,	20140528153757,0,,"	Sperrumgehung, keine Besserung erkennbar: Yves18",1,360,0,0,,0,	default
57,,39066,	MBq,	20141119155214,0,,	Suchhilfe-Schutz,1,355,0,0,"	warn,disallow",0,	default
240,,2379,	Seewolf,	20190207190925,1,,	Youtube-Spam in Artikel Altschauerberg,1,336,0,0,	disallow,0,	default
86,,35543,	Lustiger seth,	20160304222929,0,,	PS-Vandalismus/ex-sbl-umgehung,1,332,0,1,	disallow,0,	default
180,,2379,	Seewolf,	20151113160421,0,,	Sperrumgehung: FBE2005,1,326,0,0,	disallow,0,	default
17,"	article_namespace==0
& action==""edit""
& edit_delta > -50
& edit_delta < 50
& user_name rlike ""^93\.207\.(?:\d\d|1[01]\d|12[0-7])\.""
& ( rcount(""[aA]bfotografier"",added_lines) < rcount(""[aA]bfotografier"",removed_lines)
  | count(""auf Grund"",added_lines) < count(""auf Grund"",removed_lines)
  | count(""Ausfallswinkel"",added_lines) < count(""Ausfallswinkel"",removed_lines)
  | count(""Batterie"",added_lines) < count(""Batterie"",removed_lines)
  | count(""bayrisch"",added_lines) < count(""bayrisch"",removed_lines)
  | count(""cm"",added_lines) < count(""cm"",removed_lines)
  | count(""einmal mehr"",added_lines) < count(""einmal mehr"",removed_lines)
  | count(""ebendies"",added_lines) < count(""ebendies"",removed_lines)
  | count(""elisabethanisch"",added_lines) < count(""elisabethanisch"",removed_lines)
  | count(""gesogen"",added_lines) < count(""gesogen"",removed_lines)
  | count(""gleich"",added_lines) < count(""gleich"",removed_lines)
  | count(""grammatisch"",added_lines) < count(""grammatisch"",removed_lines)
)",35543,	Lustiger seth,	20181125184122,0,"	siehe [[WP:Missbrauchsfilter/3]]
2018-11-25 seth: user vermutlich nicht mehr aktiv, deshalb regel deaktiviert",	Aehnlicher Edit wie von User Bechterev (Block 3),0,313,0,0,	disallow,0,	default
147,"	!(""autoconfirmed"" in user_groups) & 
(lcase(new_wikitext) rlike ""(\s+|^)(?![\S]*(https?|ftp)://)[a-zA-Z0-9]{30,}"")",35543,	Lustiger seth,	20190324193157,0,"	Spun of filter 497 into 2 smaller filters, this being one of them (and the original being the other). -mlitn

The filter has tagged http://en.wikipedia.org/wiki/Special:AbuseFilter/examine/log/7627528 because the 30+ char string didn't start with ""http"" but with ""(http"" (notice the parentheses); updated the filter to ust check for http:// occurrences inside the 30+ char string and not expect it to be at the very beginning. -mlitn

Made filter name more descriptive (if matched, filter name will be displayed to show what's wrong with the feedback) --mlitn

Updated filter to:
* start detecting extremely long words at start of contribution as well as after whitespace
* only flag extremely long alphanumeric entries (it was long,pieces,of,text,like,this,where,there,is,no,whitespace,but,was,well-intended,and,useful)
-- mlitn

Import von XenonX3 aus 2013-01-17
Anzeige der neu erstellten Warnung MediaWiki:Abusefilter-aft-warning-lange-wörter Wnme 2013-01-19

neue Feedbacks können nicht mehr abgegeben werden, daher deaktiviert Wnme 2013-07-12

2019-03-24 seth: sollte die regel je wiederbelegt werden, bitte die warning message nach Abusefilter-warning-aft-lange-wörter verschieben und neuformatieren (analog zu den anderen warnings).",	Artikel-Feedback-Tool: Verhindern von extrem langen Wörtern,0,304,0,1,"	warn,disallow",0,	default
216,,2379,	Seewolf,	20160109023143,0,,	Kommunismustroll,1,304,0,0,	disallow,0,	default
89,,35543,	Lustiger seth,	20140528144013,0,,	Grössere Änderungen an Diskografie-Seiten protokollieren,1,302,0,0,,0,	default
231,,2379,	Seewolf,	20181201101132,0,,	Leertroll,1,295,0,0,,0,	default
79,,2379,	Seewolf,	20150130121316,0,,"	Sperrumgehung, keine Besserung erkennbar: angel54",1,285,0,1,"	warn,disallow",0,	default
208,,2379,	Seewolf,	20181016155103,1,,	Verdacht auf Sperrumgehung Nay-Fan,1,283,0,0,	disallow,0,	default
78,,35543,	Lustiger seth,	20151201223515,0,,	Phimose-Socken,1,280,0,0,,0,	default
155,,2379,	Seewolf,	20190404112937,1,,"	Sperrumgehung, keine Besserung erkennbar: Dribbler",1,269,0,0,	disallow,0,	default
252,,2379,	Seewolf,	20180824090754,0,,	Anführungszeichentroll,1,254,0,0,,0,	default
175,,1859,	Filzstift,	20190325124920,1,,	Verdacht auf Sperrumgehung: Messina,1,247,0,0,,0,	default
207,"	action = ""edit""
& article_namespace = 0
& rcount(""\{\{#(?i:invoke:Wikidata|property):"", added_lines) > rcount(""\{\{#(?i:invoke:Wikidata |property):"", removed_lines)",1859,	Filzstift,	20190325124013,1,	siehe [[Wikipedia:Bearbeitungsfilter/207]],	Umsetzung des Wikidata-Meinungsbildes: Warnung vor Wikidata-Einbindungen im Artikelsnamensraum,0,236,0,0,	warn,0,	default
60,"	article_namespace==0
& action==""edit""
& !""bot"" in user_groups
& lcase(added_lines) rlike "".*(alphascript|betascript|surhone|alensias|doyen verlag|fastbook|books llc|ella-luise von welfesholz|katharina c. van eycken|hans von prittwitz|calixt prinz biron|frederic p. miller|agnes a. vandome|vdm publishing|sademon).*""
& ! article_text = ""VDM Publishing Group""",35543,	Lustiger seth,	20190324190243,0,"	2014-11-19 MBq - gelöscht, keine Treffer mehr seit 2012

2012-07 - VDM Publishing wieder rein, da auch reine Haus-/Magisterarbeiten veröffentlicht werden",	Betascript et. al.,0,230,0,1,	warn,0,	default
29,"	article_namespace==0
& action==""edit""
& edit_delta > -50
& edit_delta < 50
& user_name rlike ""^93\.207\.(?:\d\d|1[01]\d|12[0-7])\.""
& ( count(""Reflekt"",added_lines) < count(""Reflekt"",removed_lines)
  | count(""Sankt "",added_lines) < count(""Sankt "",removed_lines)
  | count(""St. "",added_lines) < count(""St. "",removed_lines)
  | count(""selbig"",added_lines) < count(""selbig"",removed_lines)
  | count(""St. "",added_lines) < count(""St. "",removed_lines)
  | rcount(""\bstylisch"",added_lines) < rcount(""\bstylisch"",removed_lines)
  | count(""nter anderem"",added_lines) < count(""nter anderem"",removed_lines)
  | count(""verschiedenste"",added_lines) < count(""verschiedenste"",removed_lines)
  | count(""Verwendung"",added_lines) < count(""Verwendung"",removed_lines)
  | count(""weiterhin"",added_lines) < count(""weiterhin"",removed_lines)
  | count(""wäre"",added_lines) < count(""wäre"",removed_lines)
  | rcount(""[wW]eiters\b"",added_lines) < rcount(""[wW]eiters\b"",removed_lines)
)",35543,	Lustiger seth,	20181125184346,0,"	siehe [[WP:Missbrauchsfilter/3]]
2018-11-25 seth: user vermutlich inaktiv, deswegen regel deaktiviert.",	Aehnlicher Edit wie von User Bechterev (Block 5),0,221,0,0,	disallow,0,	default
153,"	action = ""edit""
& user_editcount < 1
& summary == ""Foto zur Seite hinzugefügt""",35543,	Lustiger seth,	20150103220454,0,,	potentielle Urheberrechtsverletzung,0,206,0,1,"	warn,disallow",0,	default
224,"	action == ""edit""
& ( article_namespace == 0
  & rcount(""forbes.com/(?:profile|billionaires/list)|celebritynetworth|\[\[Quelle:|==\s*Vermögen\s*=="", added_lines) > rcount(""forbes.com/(?:profile|billionaires/list)|celebritynetworth|\[\[Quelle:|==\s*Vermögen\s*=="", removed_lines)
  & ( (user_editcount < 4 & user_age != 0)
    | ip_in_range(user_name, ""79.208.0.0/18"")
  ) | (
    article_prefixedtext = ""Wikipedia:Gesichtete Versionen/Anfragen""
    & ip_in_range(user_name, ""79.208.0.0/18"")
  )
)",1859,	Filzstift,	20190325123801,1,"	siehe [[Wikipedia:Bearbeitungsfilter/224]]
beispiel-IP-adressen:
79.208.4.114
79.208.14.241
79.208.20.14
79.208.25.234
79.208.29.237

2016-07-30: erstmal zurück auf Version vom 10.4.: produziert offenbar nur noch false positives
2016-07-31, seth: repariert","	Untauglicher externer Link (forbes.com, celebritynetworth.com)",0,201,0,0,	disallow,0,	default
24,,1859,	Filzstift,	20130605150239,0,,	Massenreverts von IP-Edits,1,200,1,1,,0,	default
210,,2379,	Seewolf,	20190112094243,1,,	Verdacht auf Sperrumgehung Gordito1869,1,199,0,0,	disallow,0,	default
